고유번호,제조사,모델,세부모델,등급,연식,차량가격,복합연비,배기량,최고출력,최대토크,구동방식,승차정원,휠_1,타이어_수정,변속기,연료,차분류,URL
98,현대,그랜저IG,디젤 2.2 프리미엄,기본형,2018,3515,15,2199,202,45,FF,5,18,245,오토,디젤,대형,현대_그랜저IG디젤 2.2 프리미엄.jpg
99,현대,그랜저IG,디젤 2.2 프리미엄,스페셜,2017,3675,14,2199,202,45,FF,5,19,245,오토,디젤,대형,현대_그랜저IG디젤 2.2 프리미엄.jpg
100,현대,그랜저IG,디젤 2.2 프리미엄,스페셜,2018,3700,14,2199,202,45,FF,5,19,245,오토,디젤,대형,현대_그랜저IG디젤 2.2 프리미엄.jpg
101,현대,그랜저IG,2.4 모던,기본형,2017,3055,11,2359,190,25,FF,5,17,225,오토,디젤,대형,현대_그랜저IG2.4 모던.jpg
102,현대,그랜저IG,2.4 모던,기본형,2018,3105,11,2359,190,25,FF,5,17,225,오토,가솔린,대형,현대_그랜저IG2.4 모던.jpg
103,현대,그랜저IG,2.4 모던,기본형,2019,3112,11,2359,190,25,FF,5,17,225,오토,가솔린,대형,현대_그랜저IG2.4 모던.jpg
104,현대,그랜저IG,2.4 프리미엄,기본형,2017,3175,11,2359,190,25,FF,5,17,225,오토,가솔린,대형,현대_그랜저IG2.4 프리미엄.jpg
105,현대,그랜저IG,2.4 프리미엄,기본형,2018,3215,11,2359,190,25,FF,5,18,245,오토,가솔린,대형,현대_그랜저IG2.4 프리미엄.jpg
106,현대,그랜저IG,2.4 프리미엄,기본형,2019,3235,11,2359,190,25,FF,5,19,245,오토,가솔린,대형,현대_그랜저IG2.4 프리미엄.jpg
107,현대,그랜저IG,2.4 프리미엄,스페셜,2017,3375,11,2359,190,25,FF,5,18,245,오토,가솔린,대형,현대_그랜저IG2.4 프리미엄.jpg
108,현대,그랜저IG,2.4 프리미엄,스페셜,2018,3400,11,2359,190,25,FF,5,19,245,오토,가솔린,대형,현대_그랜저IG2.4 프리미엄.jpg
109,현대,그랜저IG,3.0 익스클루시브,기본형,2017,3550,10,2999,266,31,FF,5,18,245,오토,가솔린,대형,현대_그랜저IG3.0 익스클루시브.jpg
110,현대,그랜저IG,3.0 익스클루시브,기본형,2018,3595,10,2999,266,31,FF,5,19,245,오토,가솔린,대형,현대_그랜저IG3.0 익스클루시브.jpg
111,현대,그랜저IG,3.0 익스클루시브,스페셜,2017,3870,10,2999,266,31,FF,5,19,245,오토,가솔린,대형,현대_그랜저IG3.0 익스클루시브.jpg
112,현대,그랜저IG,3.0 익스클루시브,스페셜,2018,3900,10,2999,266,31,FF,5,19,245,오토,가솔린,대형,현대_그랜저IG3.0 익스클루시브.jpg
113,현대,그랜저IG,3.0 익스클루시브,스페셜,2019,3873,10,2999,266,31,FF,5,18,245,오토,가솔린,대형,현대_그랜저IG3.0 익스클루시브.jpg
114,현대,그랜저IG 하이브리드,,익스클루시브,2017,3883,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
115,현대,그랜저IG 하이브리드,,익스클루시브,2018,3923,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
116,현대,그랜저IG 하이브리드,,익스클루시브,2019,3930,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
117,현대,그랜저IG 하이브리드,,익스클루시브 스페셜,2017,4113,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
118,현대,그랜저IG 하이브리드,,익스클루시브 스페셜,2018,4138,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
119,현대,그랜저IG 하이브리드,,익스클루시브 스페셜,2019,4136,16,2359,199,27,FF,5,17,225,오토,기타,대형,현대_그랜저IG 하이브리드.jpg
120,현대,그랜저TG,Q270,기본형,2005,2603,9,2656,192,26,FF,5,16,225,오토,LPG,대형,현대_그랜저TGQ270.jpg
121,현대,그랜저TG,Q270,기본형 Plus Pack,2005,2675,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270.jpg
122,현대,그랜저TG,Q270,기본형 Plus Pack,2006,2675,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270.jpg
123,현대,그랜저TG,Q270 Deluxe,기본형,2005,2771,10,2656,195,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Deluxe.jpg
124,현대,그랜저TG,Q270 Deluxe,기본형,2008,2771,10,2656,195,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Deluxe.jpg
125,현대,그랜저TG,Q270 Luxury,기본형,2005,2971,10,2656,195,26,FF,5,16,235,오토,LPG,대형,현대_그랜저TGQ270 Luxury.jpg
126,현대,그랜저TG,Q270 Luxury,기본형,2008,2971,10,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저TGQ270 Luxury.jpg
127,현대,그랜저TG,Q270 Luxury,Smart Pack,2005,3180,10,2656,195,26,FF,5,16,235,오토,가솔린,대형,현대_그랜저TGQ270 Luxury.jpg
128,현대,그랜저TG,Q270 Luxury,Smart Pack,2008,3180,10,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저TGQ270 Luxury.jpg
129,현대,그랜저TG,Q270 Deluxe,모젠팩,2005,2952,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Deluxe.jpg
130,현대,그랜저TG,Q270 Luxury,모젠팩,2005,3256,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Luxury.jpg
131,현대,그랜저TG,Q270 Luxury,모젠 Smart Pack,2005,3465,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Luxury.jpg
